filter,clusters_mean_isi_spike,clusters_isi,clusters_spike
ON_fast_sustained,2,2,2
ON_fast_sustained,2,2,2
ON_fast_sustained,2,2,2
ON_fast_sustained,2,1,2
ON_fast_sustained,2,2,2
ON_fast_sustained,2,2,2
ON_fast_sustained,2,2,2
ON_fast_sustained,2,2,2
ON_fast_sustained,2,2,2
ON_fast_sustained,2,2,2
ON_slow_sustained,2,2,2
ON_slow_sustained,2,2,2
ON_slow_sustained,2,2,2
ON_slow_sustained,2,2,2
ON_slow_sustained,2,2,2
ON_slow_sustained,2,2,2
ON_slow_sustained,2,2,2
ON_slow_sustained,2,2,2
ON_slow_sustained,2,2,2
ON_slow_sustained,2,2,2
ON_fast_transient,2,1,2
ON_fast_transient,2,1,2
ON_fast_transient,2,1,2
ON_fast_transient,2,1,2
ON_fast_transient,2,1,2
ON_fast_transient,2,1,2
ON_fast_transient,2,1,2
ON_fast_transient,2,1,2
ON_fast_transient,2,1,2
ON_fast_transient,2,1,2
OF_fast_transient,1,1,2
OF_fast_transient,1,1,2
OF_fast_transient,1,1,2
OF_fast_transient,1,2,2
OF_fast_transient,1,1,2
OF_fast_transient,1,1,2
OF_fast_transient,1,1,2
OF_fast_transient,2,2,2
ON_slow_transient,2,1,2
ON_slow_transient,2,1,2
ON_slow_transient,2,2,2
ON_slow_transient,2,2,2
ON_slow_transient,2,2,2
ON_slow_transient,2,2,2
ON_slow_transient,2,1,2
ON_slow_transient,2,2,2
ON_slow_transient,2,1,2
ON_slow_transient,2,2,2
